"","Title.x","Doi.x","Year","Taxon","Species","Social_mating_system","Mating_in_study","Source_of_population","Exposure_stage","Exposure_category","Exposure_factor","Proximate_mechanisms","Maternal_effects","Maternal_effectcs_control","Latest_offspring_stage","Embryo_traits","Just_born_hatched_traits","Larvae_traits","Juveniles_traits","Adult_traits","Trait_list","Grand_offspring_traits","Grand_offspring_stage","Sex_specific_effects","Maternal_exposure","Offspring_exposure","Comments","link","id","label","Title.y","Doi.y","x","y","cluster","weight.Links.","weight.Total.link.strength.","weight.Citations.","weight.Norm..citations.","score.Pub..year.","score.Citations.","score.Norm..citations."
"322","treating generational stress: effect of paternal stress on development of memory and extinction in offspring is reversed by probiotic treatment","10.1177.0956797616653103",2016,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as juvenile","Psychological factor","maternal separation","does not assess","no",NA,"juveniles",NA,NA,NA,"behavior",NA,"anxiety; learning","phenotype","juveniles","no","no","no","secondary exposure - probiotic","10.1177.0956797616653103",151,"callaghan b.l. (2016)","treating generational stress: effect of paternal stress on development of memory and extinction in offspring is reversed by probiotic treatment","10.1177.0956797616653103",-0.6221,-0.2551,1,111,10,20,0.9534,2016,20,0.9534
"323","early prenatal stress epigenetically programs dysmasculinization in second-generation offspring via the paternal lineage","10.1523.jneurosci.1887.11.2011",2011,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","in utero","Psychological factor","prenatal stress (chronic, variable for 7 days during gestation)","does not assess","no",NA,"adults","gene expression",NA,NA,NA,"physiology, morphology, behavior, fecundity","whole-brain gene expression at birth, physiological and behavioral measures, anogenital distance and testis weight. body weight, CORT levels in resposne to acute stress","no",NA,"yes","no","no",NA,"10.1523.jneurosci.1887.11.2011",312,"morgan c.p. (2011)","early prenatal stress epigenetically programs dysmasculinization in second-generation offspring via the paternal lineage","10.1523.jneurosci.1887.11.2011",-0.4255,-0.4536,1,66,23,194,6.0445,2011,194,6.0445
"324","hippocampal nr3c1 dna methylation can mediate part of preconception paternal stress effects in rat offspring","10.1016.j.bbr.2017.02.014",2017,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Psychological factor","forsed swimming sessions for 21 days","does not assess","no",NA,"juveniles",NA,NA,NA,"gene expression, physiology, behavior",NA,"anxiety-like behavior assay (EPM), corticosterone levels, DNA methylation in hppocampus","no",NA,"no","no","no",NA,"10.1016.j.bbr.2017.02.014",117,"niknazar s. (2017)","hippocampal nr3c1 dna methylation can mediate part of preconception paternal stress effects in rat offspring","10.1016.j.bbr.2017.02.014",-0.0782,0.1086,1,172,20,5,0.7143,2017,5,0.7143
"325","paternal personality and social status influence offspring activity in zebrafish","10.1186.s12862.017.1005.0",2017,"fish","Danio rerio","polygamy – promiscuity","without mate choice","captive","as adult","Psychological factor","dominance status of male","correlative assessment","yes – maternal effects","in-vitro fertilization","larvae",NA,NA,"behavior",NA,NA,"offspring activity 7 and 10 days post fertilization","no",NA,"no","no","no",NA,"10.1186.s12862.017.1005.0",108,"zajitschek s. (2017)","paternal personality and social status influence offspring activity in zebrafish","10.1186.s12862.017.1005.0",-0.5191,0.1801,3,144,19,6,0.8571,2017,6,0.8571
"326","paternal psychological stress reprograms hepatic gluconeogenesis in offspring","10.1016.j.cmet.2016.01.014",2016,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Psychological factor","chronic restrain test for 2h/day for 14 days","correlative assessment","yes – maternal effects","in-vitro fertilization","adults","morphology","morphology",NA,"morphology","gene expression, physiology, morphology","body weight at borth and at subsequesnt stages, body composition, food intake, liver weight, glucose metabolism in offspring, locomotor activity, respiration rate","no",NA,"one sex measured only","no","no",NA,"10.1016.j.cmet.2016.01.014",167,"wu l. (2016)","paternal psychological stress reprograms hepatic gluconeogenesis in offspring","10.1016.j.cmet.2016.01.014",-0.2703,-0.6028,1,155,14,28,1.3348,2016,28,1.3348
"327","paternal stress exposure alters sperm microrna content and reprograms offspring hpa stress axis regulation","10.1523.jneurosci.0914.13.2013",2013,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as juvenile, as adult","Psychological factor","chronic variable stress throughout puberty (PN28-70) or in adulthood (PN56-98)","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"gene expression, behavior","HPA stress axis responsivity and prepulse inhibition, performance on the tail suspension test and Barnes maze, or performance in the light– dark box, gene expression","no",NA,"yes","no","no",NA,"10.1523.jneurosci.0914.13.2013",273,"rodgers a.b. (2013)","paternal stress exposure alters sperm microrna content and reprograms offspring hpa stress axis regulation","10.1523.jneurosci.0914.13.2013",0.031,-0.1718,1,215,44,326,6.6725,2013,326,6.6725
"328","paternal stress prior to conception alters dna methylation and behaviour of developing rat offspring","10.1016.j.neuroscience.2013.03.025",2013,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Psychological factor","placing the male on an elevated Plexiglas platform for 20 for 27 consecutive days","does not assess","no",NA,"juveniles",NA,NA,NA,"gene expression, morphology, behavior",NA,"body weight, brain weight, negative geotaxis task and the open field in jouveniles, global DNA methylation levels in the hippocampus and frontal cortex at 21 days old","no",NA,"yes","no","no",NA,"10.1016.j.neuroscience.2013.03.025",270,"mychasiuk r. (2013)","paternal stress prior to conception alters dna methylation and behaviour of developing rat offspring","10.1016.j.neuroscience.2013.03.025",0.1061,0.0437,1,94,25,55,1.1257,2013,55,1.1257
"329","pathological brain plasticity and cognition in the offspring of males subjected to postnatal traumatic stress","10.1038.mp.2014.80",2015,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as juvenile","Psychological factor","maternal separation combined with unpredictable maternal stress (MSUS)","correlative assessment","yes – maternal effects","cross-fostering","adults",NA,NA,NA,NA,"gene expression, morphology, behavior","gene expression in molecular pathways necessary for neuronal, signaling, synaptic plasticity at adulthood, long-term memory, depresive-like bahaviour, fear behawior, novel oject recognition,","phenotype","adults","one sex measured only","no","no",NA,"10.1038.mp.2014.80",202,"bohacek j. (2015)","pathological brain plasticity and cognition in the offspring of males subjected to postnatal traumatic stress","10.1038.mp.2014.80",-0.5727,-0.196,1,152,25,42,1.5044,2015,42,1.5044
"330","potential of environmental enrichment to prevent transgenerational effects of paternal trauma","10.1038.npp.2016.87",2016,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as juvenile","Psychological factor","maternal separation combined with unpredictable maternal stress (MSUS)","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"gene expression, behavior","gene expression in the hippocampus, coping behaviors in adverse conditions","phenotype","adults","one sex measured only","no","no",NA,"10.1038.npp.2016.87",147,"gapp k. (2016)","potential of environmental enrichment to prevent transgenerational effects of paternal trauma","10.1038.npp.2016.87",-0.4932,-0.5712,1,84,13,34,1.6208,2016,34,1.6208
"331","preconception paternal stress in rats alters brain and behavior in offspring","10.1016.j.neuroscience.2018.06.034",2018,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Psychological factor","two stressing sessions per day, for 27 consecutive days","does not assess","no",NA,"adults",NA,NA,NA,NA,"morphology, behavior","body weight, brain weight, behavior (incl. exploratory activity, box assay and elevated plus maze, Whishaw tray reaching task), neurons mophology,","no",NA,"yes","no","no",NA,"10.1016.j.neuroscience.2018.06.034",34,"harker a. (2018)","preconception paternal stress in rats alters brain and behavior in offspring","10.1016.j.neuroscience.2018.06.034",-0.3904,-0.5584,1,100,33,2,0.5132,2018,2,0.5132
"332","preconception paternal stress in rats alters dendritic morphology and connectivity in the brain of developing male and female offspring","10.1016.j.neuroscience.2015.06.058",2015,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Psychological factor","stressing session (elevated Plexiglas platform in a brightly lit room for 30 min in 27 days","does not assess","no",NA,"juveniles",NA,NA,NA,NA,"physiology","dendritic structure and spine density in five brain regions in the offspring","no",NA,"yes","no","no",NA,"10.1016.j.neuroscience.2015.06.058",197,"harker a. (2015)","preconception paternal stress in rats alters dendritic morphology and connectivity in the brain of developing male and female offspring","10.1016.j.neuroscience.2015.06.058",-0.2539,-0.5175,1,131,25,15,0.5373,2015,15,0.5373
"333","preconceptional paternal exposure to a single traumatic event affects postnatal growth of female but not male offspring","10.1097.wnr.0000000000000007",2013,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Psychological factor","single strong footshock at 6 weeks of age, 6 weeks prior to mating","does not assess","no",NA,"adults",NA,NA,NA,NA,"morphology, behavior","explolatory, anxiety-like and depression-like behaviors, body weight","no",NA,"yes","no","no",NA,"10.1097.wnr.0000000000000007",261,"hoyer c. (2013)","preconceptional paternal exposure to a single traumatic event affects postnatal growth of female but not male offspring","10.1097.wnr.0000000000000007",0.057,0.1094,1,165,17,8,0.1637,2013,8,0.1637
"334","short-term variation in sperm competition causes sperm-mediated epigenetic effects on early offspring performance in the zebrafish","10.1098.rspb.2014.0422",2014,"fish","Danio rerio","polygamy – promiscuity","without mate choice","captive","as adult","Psychological factor","social envirment affecting sprem competition","correlative assessment","yes – maternal effects","in-vitro fertilization","larvae","survival","survival",NA,NA,NA,"embryonic survival at 3 h, 24 h, 80 h and one week post-fertilization.","no",NA,"no","no","no",NA,"10.1098.rspb.2014.0422",231,"zajitschek s. (2014)","short-term variation in sperm competition causes sperm-mediated epigenetic effects on early offspring performance in the zebrafish","10.1098.rspb.2014.0422",-0.6678,-0.0205,3,151,32,18,0.4802,2014,18,0.4802
"335","transgenerational inheritance of behavioral and metabolic effects of paternal exposure to traumatic stress in early postnatal life: evidence in the 4th generation","10.1093.eep.dvy023",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as juvenile","Psychological factor","maternal separation combined with unpredictable maternal stress","does not assess","no",NA,"adults",NA,NA,NA,NA,"physiology, morphology, behavior","behavioral and metabolic phenotypes, body weight, food intake, glucose level","phenotype","adults","no","no","no",NA,"10.1093.eep.dvy023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","transgenerational inheritance of chronic adolescent stress: effects of stress response and the amygdala transcriptome","10.1111.gbb.12493",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Psychological factor","exposure to chronic unpredictable stress for 12 days","other","no",NA,"adults",NA,NA,NA,NA,"gene expression, behavior","gene expression in grandoffspring!, affective behavior and stress reactivity","phenotype","adults","yes","no","no",NA,"10.1111.gbb.12493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","adaptive paternal effects? experimental evidence that the paternal environment affects offspring performance","10.1890.13.0184.1",2013,"other invertebrate","Styela plicata","polygamy – promiscuity","without mate choice","wild","as adult","Psychological factor","adult desity","does not assess","yes – maternal effects","in-vitro fertilization, natural external fertilization","adults","survival, other",NA,"morphology",NA,"survival","time to hatching, hatching success, and larval size , cell cleavage rate, post-metamorphic survival","no",NA,"no","no","yes",NA,"10.1890.13.0184.1",281,"crean a.j. (2013)","adaptive paternal effects? experimental evidence that the paternal environment affects offspring performance","10.1890.13.0184.1",-0.6173,0.0801,3,146,34,54,1.1053,2013,54,1.1053
